bucket_start_ms,vwap,order_flow_imbalance,realized_volatility,n_trades,total_volume
1787616000000,78990.72025461722,-0.6682340187501686,0.0001145724605198113,1100,77.8553
1787616030000,78986.23587783171,-0.32188225973223755,0.00012128576097566811,517,11.91504
1787616060000,78976.40480115265,-0.20190444252943043,0.00010143201692726406,529,2.56453
1787616090000,78950.00685393733,0.3707874670537992,6.333121849166901e-7,61,3.54745
1787616120000,78957.88567073115,0.7998327651636973,0.00004496312141180967,193,1.08829
1787616150000,78955.97037789956,0.4032824173023001,0.000047873746150506955,240,2.0399599999999998
1787616180000,78943.40338193855,0.5168389847375422,0.000053838075663176884,289,1.90926
1787616210000,78973.6916037121,0.05653113256811688,0.00006161864063903273,416,2.92989
1787616240000,78969.15199154701,0.49291580539650104,0.00005061212774975739,287,3.78801
1787616270000,78963.15177706312,-0.5174224766175906,0.000056102288374510895,243,1.35572
1787616300000,78931.85583741881,-0.6306507067362791,0.00005039430911504036,254,1.25648
1787616330000,78918.39560881561,0.39705552489630247,0.000057565519535310235,346,2.80865
1787616360000,78946.84750375297,0.06321392828795255,0.00007011341576741306,369,2.31816
1787616390000,78923.16256368262,0.22357487593738556,0.00008259732626134847,439,5.87405
1787616420000,79009.06005176915,0.8043261699082078,0.00011944963369758493,933,7.39823
1787616450000,79041.6582118877,0.2798921296347117,0.00010859968212101364,727,5.46582
1787616480000,79009.19026829701,0.43044210660140486,0.00004609362900244245,288,2.20241
1787616510000,79039.11854299447,0.49053917122174867,0.0008204707513071097,1481,30.87943
1787616540000,78968.7362914642,-0.1589402248923194,0.0000670523774725645,373,1.9200300000000001
1787616570000,78928.41124957209,-0.0037535149056180214,0.00012032313741820601,604,13.23293
1787616600000,78964.62069042974,0.7411983802779215,0.00012941370019710246,693,14.01475
1787616630000,78985.74003318815,-0.2370305171027613,0.0000640704934565471,265,2.6244300000000003
1787616660000,79008.84302581109,0.4285097147181369,0.00009077253746473029,543,6.71301
1787616690000,78995.9275537548,-0.4950704495266512,0.00007350311681399084,332,13.56716
1787616720000,78985.01656222598,0.6172959977372365,0.00006428315154622172,461,4.2426
1787616750000,79003.90646951088,-0.36332558327508907,0.000085779620827623,629,10.51605
1787616780000,79024.65803254703,0.20497036600396554,0.0004114975511619398,971,23.326249999999998
1787616810000,78995.0849446987,-0.2875742951869558,0.00010379438283564086,501,5.29644
1787616840000,78954.77848711239,0.5792925688000635,0.00008086090442415825,388,2.5218
1787616870000,78958.5374044442,-0.10563681464374301,0.00006604962028188622,273,3.27348
1787616900000,78930.54091683096,-0.8129062780427606,0.00010908989060808714,554,5.93959
1787616930000,78889.20036130557,-0.6976766249829183,0.00008020405657878234,464,11.48889
1787616960000,78840.8098816614,-0.8071936604478898,0.00007975805928564857,467,18.27637
1787616990000,78806.9339319332,0.5302800269905533,0.00004958616476908441,260,4.7424
1787617020000,78788.22881797957,-0.2787656240228006,0.00006673312685363381,442,5.59635
1787617050000,78792.11062579833,-0.382165881250396,0.00007219074198177193,485,2.9984100000000002
1787617080000,78747.24420673428,-0.07875100046744216,0.00009406881268527753,906,13.45621
1787617110000,78764.78670817324,0.503927345171021,0.00006363290780017445,267,7.09767
1787617140000,78730.37791492866,0.5180900109769485,0.00008058792849015933,536,9.11
1787617170000,78790.86070259106,0.6828899041176923,0.0000735782409886181,347,2.99221
1787617200000,78769.50338358039,-0.4572085117696771,0.00006890429063906661,433,2.10626
1787617230000,78759.8695674008,0.41698850654697706,0.00004125106293967709,207,1.72446
1787617260000,78761.04269976796,0.6859841518656118,0.000053276192959282704,341,6.48152
1787617290000,78783.69413243108,0.8048571309040706,0.0000449424193090934,201,0.95612
1787617320000,78812.72302532586,0.06544062251669301,0.00008008472787676483,514,3.87588
1787617350000,78813.66013687965,0.0550515720144153,0.000055748034688011675,235,2.73598
1787617380000,78844.22168792004,-0.012713910027568512,0.00007794480482522423,470,6.29704
1787617410000,78834.09706828794,0.40578678161231935,0.00006202038989342764,320,1.83971
1787617440000,78848.01395244365,0.6789301112746237,0.00003909454547261483,149,1.16199
1787617470000,78837.42505546164,-0.09401184020841108,0.00008580900222854098,604,6.83265
1787617500000,78819.66903663405,0.21610507355305575,0.0000960052025610159,542,3.82513
1787617530000,78845.67272506584,0.9414065528627001,0.00006687172555724537,379,3.74035
1787617560000,78871.47434543927,-0.5333956523787444,0.00014914997966861644,840,8.06602
1787617590000,78821.70124553314,0.17120827832037366,0.00018234930634588946,390,3.35527
1787617620000,78804.59153314363,-0.2937464667742556,0.0000803105753068739,475,3.16637
1787617650000,78785.69782104099,0.4806344599520701,0.00008176679426539476,368,2.86669
1787617680000,78774.3483745198,-0.5891993312940172,0.00008407716806243878,380,2.24912
1787617710000,78778.92514036896,-0.006954555311173747,0.00007060704258613966,300,2.58248
1787617740000,78802.0676162781,-0.007829034391534465,0.00007171803879350176,391,2.4192
1787617770000,78789.9264642927,0.8418704754451184,0.00003753220367251676,155,1.0222
1787617800000,78786.88065103897,-0.11751830215188933,0.00005349451995509872,228,1.3523
1787617830000,78783.89320216395,0.5091137649277184,0.00007099817151808192,320,2.67288
1787617860000,78815.09843915443,0.7385015677936481,0.0000670178931848374,300,11.72986
1787617890000,78805.81606909669,-0.758328893988444,0.00007126844089589814,337,2.92836
1787617920000,78758.13222000656,-0.5015289418196843,0.00009898210238778289,539,4.71895
1787617950000,78756.72331104372,0.55160560154028,0.00008153895739782525,393,6.2689900000000005
1787617980000,78766.17160869107,-0.432569318485004,0.00007075679820967093,385,4.46021
1787618010000,78790.84659710003,0.42537716149316057,0.00004852482208799708,186,0.8524200000000001
1787618040000,78802.05523484781,-0.4900719115595149,0.00008233874019443828,420,2.42242
1787618070000,78772.94146073103,0.691732545153334,0.00007509617851138954,341,2.96379
1787618100000,78806.3569679016,0.6197930000365725,0.00007883033493345192,296,1.6405800000000001
1787618130000,78846.97007627552,0.6703779829730686,0.0000752583222804174,378,4.83117
